Number of flows,cheat,cheated
17,0.08551723121396076,-0.011823373717639
18,-0.019690036031037778,0.014849699141380786
19,-0.0054723525068705765,0.01813474578723149
20,0.0070780110235280445,0.07395723127523524
21,-0.028873234592490138,0.022066870860710953
22,0.04021165971173239,-0.03996272745744026
23,-0.04042735025254319,-0.11914383649785858
24,0.019491669298556485,-0.005787352973931185
25,-0.004908118391110945,0.013407624628894312
26,-0.029018179480498982,0.004414544480732543
27,-0.06110797670216834,0.04371913374140956
28,-0.008706094847759244,-0.006096655864847982
29,-0.04879146106063651,0.04421113986100214
30,0.023502185827493468,0.022958124475738455
2,0.14708299096138044,-0.13951675759937646
3,-0.05930470347648262,0.1265
4,0.04825613257417771,-0.018178000419953804
5,-0.005263157894736842,-0.0031948214429027362
6,0.06233683596727598,0.09941450485548775
7,0.0,0.0
8,0.12363993176524213,-0.04319487242232732
9,-0.0695352693059449,0.09296022230048451
10,-0.03720972825844765,0.09322208022436478
11,0.1064322397184639,-0.061441634995174875
12,0.032896487683591574,-0.044092980972712
13,-0.011577937440439709,0.010483821819933483
14,0.0004080037911122027,-0.0029108119949982675
15,0.012923317322045198,0.0062768655294432206
16,-0.037192583377689194,0.030996636294277912
17,-0.02969780729124802,0.05619734067081207
18,-0.014793595194455413,0.01918033127473237
19,0.046173596881863274,-0.005418864442273105
20,0.036521004378399086,-0.012224198610557232
21,0.0037551233982347242,-0.0014065678364190669
22,-0.0030453322265773532,-0.013262919640129805
23,-0.005141347519506182,-0.009848579286253505
24,0.005395545410627495,-0.0017542828678111242
25,-0.01905992526459936,-0.013738814406912539
26,0.008300482312638194,-0.008655423153141745
27,-0.010172636649487147,0.050602427251347955
28,-0.0033717082697733948,-0.0005870365222354024
29,-0.016031097930716286,-0.00018754315611852387
30,-0.0024541634571677755,0.0075025650950267956
2,0.0021231422505307855,-0.001890359168241966
3,0.0,0.0
4,0.08094219723817671,-0.16295936978540107
5,0.05464599855803893,-0.044425254269813856
6,0.1927493009291574,-0.1531961023796454
7,0.11682899246206303,0.17250701952124825
8,-0.02546354841052877,0.03261038202247017
9,0.15639351332159002,0.13926929186316064
10,-0.06021452029852786,-0.03426436403512824
11,0.022491976007109456,-0.021293124493354035
12,0.011764488427912015,0.00559102200553398
13,-0.06205059468871921,-0.1268898162606664
14,0.07646700777430805,-0.07531080598571452
15,0.17289746396821362,-0.019007995872885614
16,0.10640231447860778,-0.021522674451020133
17,-0.06389005843175799,-0.012834866869126717
18,0.018737282910382416,-0.040428919807088994
19,0.005270106218164827,-0.0020183906887479564
20,0.06691332843962547,-0.00014459159029286684
21,0.019523293879065366,0.0026683321216367036
22,0.08566715131469173,0.01702930153256612
23,0.04172043286794241,0.009255558521923899
24,-0.0006067466080205574,0.003177828719786987
25,0.010127425692239957,-0.003198411826958853
26,0.0023495509468265136,-0.004125037940816602
27,0.014698563245020705,0.017232841201405984
28,0.06216731559146145,-0.020223875612850845
29,0.09726130817562376,-0.11382514282925198
30,-0.0019389850649371302,-0.019470383979223422
2,0.0,0.0
3,0.08622016936104696,-0.11894736842105263
4,0.0,-4.913598354313556e-05
5,-0.0818280907783335,0.07477524962804044
6,-0.0742824512401155,0.0657195886611647
7,-0.11601800452157192,0.034333273057313866
8,-0.08306683121940094,0.11323538635156666
9,0.1706531114100521,-0.04120616670455899
10,0.006653111435939133,0.018553604731006024
11,-0.18386716525368993,-0.006249659985508545
12,0.07749630415644031,-0.02525993862060016
13,0.011167111587914592,0.03280520921707842
14,0.08300096518746039,-0.030503236640251893
15,0.16411403654121434,-0.017915932362699567
16,0.015164768146318106,-0.021239619596448222
17,0.059425111667781055,-0.0013779856833508383
18,0.007338463752897151,-0.006576335051329927
19,0.005613169035757759,-0.01029747519290559
20,-0.04250781056662971,0.03816895765299081
21,0.02046203596858675,0.03800698628768493
22,0.01993945241575742,-0.001943844697371014
23,0.003021999921576989,-0.016365254738141165
24,-0.00616292556426182,0.000544200475296411
25,0.018650376948957558,-0.01301916166278536
26,0.014340244259641113,0.04016079908526296
27,0.005028577212060085,0.0012579004119110096
28,-0.007021350776920494,0.013693501201704676
29,0.06961563139437695,0.011825281587321133
30,0.003788068690920051,0.03967325348798013
2,-0.06966666666666667,0.1045
3,0.1482527356159548,-0.1291390728476821
4,-0.031254873131502145,0.09481694118617164
5,-0.00034718802324436125,0.0
6,-0.08608863712480334,-0.20333182195325827
7,0.002839347182922602,-0.0012057849336663301
8,0.0005094407917932229,0.0
9,0.07534789336451828,-0.013703238067479511
10,0.013040805136474704,-0.013274620840174287
11,0.01306023382101626,0.0393950860745001
12,0.03503373926506995,0.16987515572996312
13,0.0013334664688993646,0.04642680075878601
14,-0.07861420445945641,0.07091411310231445
15,-0.05419824392923487,-0.05337476891113719
16,0.12245336952847007,-0.004029849157730938
17,0.11064455146801025,-0.05337390052101968
18,0.016453761694228967,-0.007961814511447262
19,0.05668760765383759,-0.03018350108423203
20,-0.012958342309937813,0.015360605865784166
21,0.04992552169098868,0.00862091425361047
22,-0.006283612245153341,-0.00041902369850176216
23,0.0029540657860900777,-0.013261127244226812
24,0.0030443459499290685,-0.005093425088490516
25,-0.015576116585527792,0.04961040052380346
26,0.0009452943035360047,-0.004697091572403212
27,0.019857190727623094,0.024843077364727646
28,0.007815274992394193,-0.010048498723146686
29,0.005972497013396792,-0.02130975263011879
30,0.0008790162061234202,-0.0017545292875311837
2,0.0,0.0
3,0.0,-0.0002944640753828033
4,0.2717593367166732,-0.12293800539083558
5,0.13146135100353223,-0.023335641849212108
6,-0.02309610247498997,0.023794490986328628
7,-0.07848632262851842,0.1317849786560793
8,-0.04592069895439086,-0.17885786890748828
9,-0.009937397358645093,0.00999714144721075
10,0.035994289736948085,0.07632478023145978
11,0.00017641580581632678,-0.0003834141295889354
12,-0.06955686244450511,0.017752796253975706
13,0.01577268299841374,0.09272012591747757
14,0.07726284446646069,-0.05060481578944053
15,0.025818014808840495,0.02400404354977731
16,0.009964287883972566,0.10259234556636665
17,-0.052474558983834976,0.04368705858353342
18,0.05364398006842863,0.041679334727725906
19,0.009995985332611729,0.037983035754927105
20,0.08960476507833473,0.04860668754493567
21,-0.002919030899629253,-0.019908144917082923
22,0.008419323955172236,0.040765094601238255
23,0.01334080001168942,0.002835623865535824
24,-0.006551469208752583,0.032600347121281965
25,-0.019801231053212534,0.024472619990647322
26,0.032950156200436065,-0.03241351454883894
27,-0.004287847032807145,0.009002669955476564
28,0.08699821848042708,-0.050131439452852096
29,0.02646263127155987,-0.023281202250586278
30,-0.0545568780781069,0.03154163964638379
2,0.0,0.0
3,0.1907356948228883,-0.058160504959422904
4,0.0,0.0
5,0.14243200466491734,0.03356796851347261
6,0.013027231032921097,-0.010039910503134998
7,-0.045395224770603065,-0.0317310402881854
8,0.08332548683267874,-0.05967384598878968
9,-0.11012836542315434,-0.037522296619156924
10,0.013545700360187856,0.03031270079160492
11,0.027995755462578875,-0.005737587629803122
12,-0.027974054168015742,0.02645933706999151
13,0.0392128808119058,-0.04316100104499277
14,0.004957869131144355,-0.023985831306407253
15,0.013532721051207314,0.0027985404140399343
16,0.03491550126840909,0.05769911798667461
17,-0.09071160694403281,0.03307592246305703
18,-0.04038051623384841,-0.028553855584807435
19,-0.06945413420355187,0.05764626861056834
20,0.044981593649533046,-0.05094547014921319
21,-0.003262608649865422,0.003091911986481091
22,0.0006519983284074255,-0.0015593385472976345
23,0.04943338882548177,0.02642879306077574
24,-0.0012226448158793504,0.0025093585312661757
25,0.010937590403496239,-0.006280563541583465
26,-0.01963051039907084,0.0020102716220648797
27,0.04479603304982967,0.05033692353189429
28,0.07848027252838516,-0.01668507721311387
29,0.00854074685254712,0.04407478428984456
30,0.016724226535932647,0.0023033257994895906
2,0.0,0.0
3,0.031524341580207504,-0.015546218487394958
4,0.12318227233605833,-0.06313730767195949
5,-0.02969136382571958,-0.06641993484098747
6,0.04189431217708097,0.10510357751211548
7,-0.11172019181146679,0.027246150053794195
8,0.017013949304760204,0.15892972609928419
9,-0.02570826051528817,0.039879468839609127
10,0.004300249685532049,-0.019707213700734454
11,-0.044725875378145284,0.11828198051855902
12,0.03607865464524607,-0.015669410160206277
13,0.0006606165200369352,-0.006276046851676222
14,0.04200247478310223,0.10600239727855296
15,0.1008147696576246,0.1447259956862597
16,0.08814540982577432,0.06029167593449259
17,0.07008295832896692,-0.004905977026018634
18,-0.015395013546082434,0.029663984680019892
19,0.3245922905068522,0.012389062613106122
20,0.00386703008671242,0.007985313512418643
21,0.032312613449709995,0.014081307698532709
22,-0.03585042777397941,-0.017220253432154206
23,0.014512266150995533,0.0013518800441695792
24,0.004843540227216763,-0.010205887250387872
25,0.008062782129349475,-0.006557807419560269
26,-0.01227847204479678,0.06452212931402349
27,0.04190308450882359,0.004219763832908654
28,0.20294380344829205,-0.03613962536176158
29,0.006436192308542478,-0.02372326842650507
30,0.07889366615236841,-0.07220208850964188
2,0.0,0.0
3,0.0,0.0
4,0.062002580469917155,-0.04119342537533521
5,0.0,0.0
